Prediction Accuracy = 37.056%, Running Loss = 5.686169719696045
Prediction Accuracy = 37.071999999999996%, Running Loss = 5.685733652114868
Prediction Accuracy = 37.088%, Running Loss = 5.685841655731201
Prediction Accuracy = 37.162%, Running Loss = 5.684917211532593
Prediction Accuracy = 37.236000000000004%, Running Loss = 5.684782695770264
Prediction Accuracy = 37.244%, Running Loss = 5.684015417098999
Prediction Accuracy = 37.279999999999994%, Running Loss = 5.683686208724976
Prediction Accuracy = 37.31%, Running Loss = 5.683236503601075
Prediction Accuracy = 37.366%, Running Loss = 5.6828351497650145
Prediction Accuracy = 37.368%, Running Loss = 5.682524585723877
Prediction Accuracy = 37.42%, Running Loss = 5.682109212875366
Prediction Accuracy = 37.48199999999999%, Running Loss = 5.681664371490479
Prediction Accuracy = 37.522000000000006%, Running Loss = 5.681333303451538
Prediction Accuracy = 37.544%, Running Loss = 5.680932235717774
Prediction Accuracy = 37.57%, Running Loss = 5.680482721328735
Prediction Accuracy = 37.576%, Running Loss = 5.680186367034912
Prediction Accuracy = 37.654%, Running Loss = 5.67981538772583
Prediction Accuracy = 37.658%, Running Loss = 5.679480266571045
Prediction Accuracy = 37.668%, Running Loss = 5.679074382781982
Prediction Accuracy = 37.71%, Running Loss = 5.67874550819397
Prediction Accuracy = 37.769999999999996%, Running Loss = 5.67846565246582
Prediction Accuracy = 37.791999999999994%, Running Loss = 5.678079986572266
Prediction Accuracy = 37.852%, Running Loss = 5.677847003936767
Prediction Accuracy = 37.88%, Running Loss = 5.677322959899902
Prediction Accuracy = 37.882%, Running Loss = 5.6772575855255125
Prediction Accuracy = 37.888%, Running Loss = 5.676632738113403
Prediction Accuracy = 37.922%, Running Loss = 5.676430654525757
Prediction Accuracy = 37.998000000000005%, Running Loss = 5.6759806156158445
Prediction Accuracy = 38.05%, Running Loss = 5.675777959823608
Prediction Accuracy = 38.064%, Running Loss = 5.675270366668701
Prediction Accuracy = 38.156000000000006%, Running Loss = 5.675058603286743
Prediction Accuracy = 38.162%, Running Loss = 5.674705219268799
Prediction Accuracy = 38.176%, Running Loss = 5.674410820007324
Prediction Accuracy = 38.232000000000006%, Running Loss = 5.674041032791138
Prediction Accuracy = 38.29%, Running Loss = 5.673826408386231
Prediction Accuracy = 38.324000000000005%, Running Loss = 5.673429775238037
Prediction Accuracy = 38.348%, Running Loss = 5.673406744003296
Prediction Accuracy = 38.374%, Running Loss = 5.673387050628662
Prediction Accuracy = 38.414%, Running Loss = 5.67254867553711
Prediction Accuracy = 38.434000000000005%, Running Loss = 5.672290182113647
Prediction Accuracy = 38.46999999999999%, Running Loss = 5.671881437301636
Prediction Accuracy = 38.51%, Running Loss = 5.671726131439209
Prediction Accuracy = 38.552%, Running Loss = 5.671486234664917
Prediction Accuracy = 38.60199999999999%, Running Loss = 5.670934724807739
Prediction Accuracy = 38.634%, Running Loss = 5.670840215682984
Prediction Accuracy = 38.666000000000004%, Running Loss = 5.670541858673095
Prediction Accuracy = 38.692%, Running Loss = 5.670228910446167
Prediction Accuracy = 38.715999999999994%, Running Loss = 5.66991662979126
Prediction Accuracy = 38.714%, Running Loss = 5.669499254226684
Prediction Accuracy = 38.760000000000005%, Running Loss = 5.669329690933227
Prediction Accuracy = 38.82%, Running Loss = 5.66926760673523
Prediction Accuracy = 38.844%, Running Loss = 5.668713855743408
Prediction Accuracy = 38.833999999999996%, Running Loss = 5.6684253215789795
Prediction Accuracy = 38.86%, Running Loss = 5.668095445632934
Prediction Accuracy = 38.928%, Running Loss = 5.66790132522583
Prediction Accuracy = 38.958000000000006%, Running Loss = 5.6675835132598875
Prediction Accuracy = 39.012%, Running Loss = 5.667260026931762
Prediction Accuracy = 39.056000000000004%, Running Loss = 5.667827033996582
Prediction Accuracy = 39.052%, Running Loss = 5.667147064208985
Prediction Accuracy = 39.086%, Running Loss = 5.66690502166748
Prediction Accuracy = 39.134%, Running Loss = 5.66620397567749
Prediction Accuracy = 39.164%, Running Loss = 5.665998792648315
Prediction Accuracy = 39.246%, Running Loss = 5.665862512588501
Prediction Accuracy = 39.278%, Running Loss = 5.665366983413696
Prediction Accuracy = 39.292%, Running Loss = 5.6652082920074465
Prediction Accuracy = 39.344%, Running Loss = 5.6648705959320065
Prediction Accuracy = 39.35%, Running Loss = 5.664829730987549
Prediction Accuracy = 39.396%, Running Loss = 5.664350318908691
Prediction Accuracy = 39.40599999999999%, Running Loss = 5.664154529571533
Prediction Accuracy = 39.456%, Running Loss = 5.663890790939331
Prediction Accuracy = 39.50599999999999%, Running Loss = 5.663568067550659
Prediction Accuracy = 39.55200000000001%, Running Loss = 5.663808155059814
Prediction Accuracy = 39.582%, Running Loss = 5.663237857818603
Prediction Accuracy = 39.602000000000004%, Running Loss = 5.66298017501831
Prediction Accuracy = 39.628%, Running Loss = 5.662979221343994
Prediction Accuracy = 39.656%, Running Loss = 5.662789297103882
Prediction Accuracy = 39.674%, Running Loss = 5.662116241455078
Prediction Accuracy = 39.732%, Running Loss = 5.662100172042846
Prediction Accuracy = 39.757999999999996%, Running Loss = 5.6624918460845945
Prediction Accuracy = 39.786%, Running Loss = 5.662417411804199
Prediction Accuracy = 39.794000000000004%, Running Loss = 5.66161732673645
