Prediction Accuracy = 42.422000000000004%, Running Loss = 5.668552494049072
Prediction Accuracy = 42.098%, Running Loss = 5.671976757049561
Prediction Accuracy = 42.316%, Running Loss = 5.670254516601562
Prediction Accuracy = 42.394000000000005%, Running Loss = 5.662138938903809
Prediction Accuracy = 42.612%, Running Loss = 5.660978984832764
Prediction Accuracy = 42.572%, Running Loss = 5.6736226081848145
Prediction Accuracy = 42.35%, Running Loss = 5.693150901794434
Prediction Accuracy = 42.339999999999996%, Running Loss = 5.673708105087281
Prediction Accuracy = 42.540000000000006%, Running Loss = 5.654400491714478
Prediction Accuracy = 42.598%, Running Loss = 5.662819337844849
Prediction Accuracy = 42.404%, Running Loss = 5.66271014213562
Prediction Accuracy = 42.282%, Running Loss = 5.654482460021972
Prediction Accuracy = 42.316%, Running Loss = 5.643811750411987
Prediction Accuracy = 42.74%, Running Loss = 5.648242807388305
Prediction Accuracy = 42.553999999999995%, Running Loss = 5.6675678253173825
Prediction Accuracy = 42.408%, Running Loss = 5.655972719192505
Prediction Accuracy = 42.628%, Running Loss = 5.658587026596069
Prediction Accuracy = 42.432%, Running Loss = 5.683371877670288
Prediction Accuracy = 42.476000000000006%, Running Loss = 5.6642899990081785
Prediction Accuracy = 42.454%, Running Loss = 5.669695472717285
Prediction Accuracy = 42.635999999999996%, Running Loss = 5.651222133636475
Prediction Accuracy = 42.55800000000001%, Running Loss = 5.652852392196655
Prediction Accuracy = 42.476%, Running Loss = 5.65171217918396
Prediction Accuracy = 42.501999999999995%, Running Loss = 5.652850246429443
Prediction Accuracy = 42.519999999999996%, Running Loss = 5.668638277053833
Prediction Accuracy = 42.602000000000004%, Running Loss = 5.66756649017334
Prediction Accuracy = 42.512%, Running Loss = 5.664892387390137
Prediction Accuracy = 42.46%, Running Loss = 5.6932532787323
Prediction Accuracy = 42.416000000000004%, Running Loss = 5.6867570877075195
Prediction Accuracy = 42.474000000000004%, Running Loss = 5.665501117706299
Prediction Accuracy = 42.382%, Running Loss = 5.65307469367981
Prediction Accuracy = 42.512%, Running Loss = 5.648600006103516
Prediction Accuracy = 42.496%, Running Loss = 5.655010223388672
Prediction Accuracy = 42.455999999999996%, Running Loss = 5.660599565505981
Prediction Accuracy = 42.553999999999995%, Running Loss = 5.656895303726197
Prediction Accuracy = 42.586000000000006%, Running Loss = 5.645109701156616
Traceback (most recent call last):
  File "/Users/athmajanvivekananthan/WCE/JEPA - MARL/multi-agent/PPO/bert_marl/mode20-dqn/classify.py", line 81, in <module>
    for data in data_loader:
  File "/Users/athmajanvivekananthan/WCE/JEPA - MARL/multi-agent/bertsekas-marl/spider/lib/python3.11/site-packages/torch/utils/data/dataloader.py", line 634, in __next__
    data = self._next_data()
           ^^^^^^^^^^^^^^^^^
  File "/Users/athmajanvivekananthan/WCE/JEPA - MARL/multi-agent/bertsekas-marl/spider/lib/python3.11/site-packages/torch/utils/data/dataloader.py", line 677, in _next_data
    index = self._next_index()  # may raise StopIteration
            ^^^^^^^^^^^^^^^^^^
  File "/Users/athmajanvivekananthan/WCE/JEPA - MARL/multi-agent/bertsekas-marl/spider/lib/python3.11/site-packages/torch/utils/data/dataloader.py", line 624, in _next_index
    return next(self._sampler_iter)  # may raise StopIteration
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/athmajanvivekananthan/WCE/JEPA - MARL/multi-agent/bertsekas-marl/spider/lib/python3.11/site-packages/torch/utils/data/sampler.py", line -1, in __iter__
KeyboardInterrupt
