Prediction Accuracy = 42.678%, Running Loss = 5.638208484649658
Prediction Accuracy = 42.694%, Running Loss = 5.638543653488159
Prediction Accuracy = 42.836000000000006%, Running Loss = 5.643961811065674
Prediction Accuracy = 42.620000000000005%, Running Loss = 5.643564081192016
Prediction Accuracy = 42.696000000000005%, Running Loss = 5.6385660648345945
Prediction Accuracy = 42.612%, Running Loss = 5.639210605621338
Prediction Accuracy = 42.653999999999996%, Running Loss = 5.640811109542847
Prediction Accuracy = 42.717999999999996%, Running Loss = 5.641132831573486
Prediction Accuracy = 42.666000000000004%, Running Loss = 5.639043188095092
Prediction Accuracy = 42.724000000000004%, Running Loss = 5.638103723526001
Prediction Accuracy = 42.644000000000005%, Running Loss = 5.638416576385498
Prediction Accuracy = 42.68%, Running Loss = 5.639600563049316
Prediction Accuracy = 42.686%, Running Loss = 5.63906569480896
Prediction Accuracy = 42.648%, Running Loss = 5.6378477096557615
Prediction Accuracy = 42.686%, Running Loss = 5.639596748352051
Prediction Accuracy = 42.708000000000006%, Running Loss = 5.645451545715332
Prediction Accuracy = 42.684000000000005%, Running Loss = 5.63990421295166
Prediction Accuracy = 42.706%, Running Loss = 5.638481283187867
Prediction Accuracy = 42.602%, Running Loss = 5.638765525817871
Prediction Accuracy = 42.708000000000006%, Running Loss = 5.6387663841247555
Prediction Accuracy = 42.727999999999994%, Running Loss = 5.639627742767334
Prediction Accuracy = 42.65%, Running Loss = 5.640755891799927
Prediction Accuracy = 42.763999999999996%, Running Loss = 5.640513944625854
Prediction Accuracy = 42.74400000000001%, Running Loss = 5.638642883300781
Prediction Accuracy = 42.647999999999996%, Running Loss = 5.638648319244385
Prediction Accuracy = 42.712%, Running Loss = 5.6385759830474855
Prediction Accuracy = 42.698%, Running Loss = 5.639149856567383
Prediction Accuracy = 42.762%, Running Loss = 5.63910140991211
Prediction Accuracy = 42.63%, Running Loss = 5.638973522186279
Prediction Accuracy = 42.7%, Running Loss = 5.638797760009766
Prediction Accuracy = 42.70799999999999%, Running Loss = 5.6400166034698485
Prediction Accuracy = 42.676%, Running Loss = 5.637989616394043
Prediction Accuracy = 42.756%, Running Loss = 5.639279842376709
Prediction Accuracy = 42.766%, Running Loss = 5.637699174880981
Prediction Accuracy = 42.802%, Running Loss = 5.638103485107422
Prediction Accuracy = 42.653999999999996%, Running Loss = 5.638835096359253
Prediction Accuracy = 42.67%, Running Loss = 5.640185976028443
Prediction Accuracy = 42.68%, Running Loss = 5.642351770401001
Prediction Accuracy = 42.664%, Running Loss = 5.64675726890564
Prediction Accuracy = 42.626%, Running Loss = 5.646824502944947
Prediction Accuracy = 42.69799999999999%, Running Loss = 5.645431470870972
Prediction Accuracy = 42.722%, Running Loss = 5.641335916519165
Prediction Accuracy = 42.662000000000006%, Running Loss = 5.640790796279907
Prediction Accuracy = 42.70399999999999%, Running Loss = 5.638395214080811
Prediction Accuracy = 42.751999999999995%, Running Loss = 5.642256736755371
Prediction Accuracy = 42.678%, Running Loss = 5.643969774246216
Prediction Accuracy = 42.69200000000001%, Running Loss = 5.641163444519043
Prediction Accuracy = 42.742%, Running Loss = 5.640057802200317
Prediction Accuracy = 42.686%, Running Loss = 5.642358732223511
Prediction Accuracy = 42.647999999999996%, Running Loss = 5.643709135055542
Prediction Accuracy = 42.726%, Running Loss = 5.6392711162567135
Prediction Accuracy = 42.60200000000001%, Running Loss = 5.639747953414917
Prediction Accuracy = 42.693999999999996%, Running Loss = 5.640052223205567
Prediction Accuracy = 42.676%, Running Loss = 5.638180065155029
Prediction Accuracy = 42.660000000000004%, Running Loss = 5.639920091629028
Prediction Accuracy = 42.751999999999995%, Running Loss = 5.64041690826416
Prediction Accuracy = 42.70399999999999%, Running Loss = 5.642831182479858
Prediction Accuracy = 42.654%, Running Loss = 5.638790082931519
Prediction Accuracy = 42.64%, Running Loss = 5.638595676422119
Prediction Accuracy = 42.724000000000004%, Running Loss = 5.638572311401367
Prediction Accuracy = 42.684%, Running Loss = 5.64007420539856
Prediction Accuracy = 42.67%, Running Loss = 5.639126968383789
