Prediction Accuracy = 35.198%, Running Loss = 5.702276420593262
Prediction Accuracy = 35.217999999999996%, Running Loss = 5.701707410812378
Prediction Accuracy = 35.233999999999995%, Running Loss = 5.7011847496032715
Prediction Accuracy = 35.35799999999999%, Running Loss = 5.700777244567871
Prediction Accuracy = 35.373999999999995%, Running Loss = 5.700426340103149
Prediction Accuracy = 35.408%, Running Loss = 5.699682998657226
Prediction Accuracy = 35.43%, Running Loss = 5.698986148834228
Prediction Accuracy = 35.455999999999996%, Running Loss = 5.698442220687866
Prediction Accuracy = 35.489999999999995%, Running Loss = 5.698010540008545
Prediction Accuracy = 35.564%, Running Loss = 5.6974691390991214
Prediction Accuracy = 35.594%, Running Loss = 5.696969366073608
Prediction Accuracy = 35.634%, Running Loss = 5.69645323753357
Prediction Accuracy = 35.721999999999994%, Running Loss = 5.695983648300171
Prediction Accuracy = 35.766%, Running Loss = 5.695606994628906
Prediction Accuracy = 35.772000000000006%, Running Loss = 5.694938611984253
Prediction Accuracy = 35.788%, Running Loss = 5.69449028968811
Prediction Accuracy = 35.836%, Running Loss = 5.694008111953735
Prediction Accuracy = 35.836%, Running Loss = 5.693633985519409
Prediction Accuracy = 35.858%, Running Loss = 5.693449878692627
Prediction Accuracy = 35.86%, Running Loss = 5.692641830444336
Prediction Accuracy = 35.906000000000006%, Running Loss = 5.692350387573242
Prediction Accuracy = 35.99399999999999%, Running Loss = 5.6924408912658695
Prediction Accuracy = 35.964%, Running Loss = 5.6914331912994385
Prediction Accuracy = 35.998000000000005%, Running Loss = 5.691034317016602
Prediction Accuracy = 36.048%, Running Loss = 5.690528059005738
Prediction Accuracy = 36.104%, Running Loss = 5.6901689052581785
Prediction Accuracy = 36.136%, Running Loss = 5.689662742614746
Prediction Accuracy = 36.148%, Running Loss = 5.689339733123779
Prediction Accuracy = 36.196000000000005%, Running Loss = 5.688924932479859
Prediction Accuracy = 36.182%, Running Loss = 5.688851594924927
Prediction Accuracy = 36.158%, Running Loss = 5.688043737411499
Prediction Accuracy = 36.228%, Running Loss = 5.6876912117004395
Prediction Accuracy = 36.262%, Running Loss = 5.687330436706543
Prediction Accuracy = 36.230000000000004%, Running Loss = 5.687542533874511
Prediction Accuracy = 36.35%, Running Loss = 5.686886787414551
Prediction Accuracy = 36.455999999999996%, Running Loss = 5.686194944381714
Prediction Accuracy = 36.467999999999996%, Running Loss = 5.68594388961792
Prediction Accuracy = 36.50599999999999%, Running Loss = 5.685533332824707
Prediction Accuracy = 36.518%, Running Loss = 5.685208129882812
Prediction Accuracy = 36.568%, Running Loss = 5.684762334823608
Prediction Accuracy = 36.606%, Running Loss = 5.684355449676514
Prediction Accuracy = 36.648%, Running Loss = 5.684208679199219
Prediction Accuracy = 36.70399999999999%, Running Loss = 5.683644819259643
Prediction Accuracy = 36.760000000000005%, Running Loss = 5.683407926559449
Prediction Accuracy = 36.772000000000006%, Running Loss = 5.683090305328369
Prediction Accuracy = 36.826%, Running Loss = 5.682715654373169
Prediction Accuracy = 36.866%, Running Loss = 5.682344579696656
Prediction Accuracy = 36.932%, Running Loss = 5.682188653945923
Prediction Accuracy = 36.983999999999995%, Running Loss = 5.681552362442017
Prediction Accuracy = 37.028%, Running Loss = 5.681331586837769
Prediction Accuracy = 37.044%, Running Loss = 5.6810235500335695
Prediction Accuracy = 37.059999999999995%, Running Loss = 5.680666303634643
