Prediction Accuracy = 41.70400000000001%, Running Loss = 5.684632329940796
Prediction Accuracy = 40.552%, Running Loss = 5.671637334823608
Prediction Accuracy = 40.006%, Running Loss = 5.6744192028045655
Prediction Accuracy = 41.26%, Running Loss = 5.659705181121826
Prediction Accuracy = 40.459999999999994%, Running Loss = 5.690871505737305
Prediction Accuracy = 40.75%, Running Loss = 5.670037136077881
Prediction Accuracy = 41.797999999999995%, Running Loss = 5.665823984146118
Prediction Accuracy = 42.268%, Running Loss = 5.669483442306518
Prediction Accuracy = 40.553999999999995%, Running Loss = 5.672153224945069
Prediction Accuracy = 41.658%, Running Loss = 5.677924375534058
Prediction Accuracy = 40.622%, Running Loss = 5.680583829879761
Prediction Accuracy = 42.163999999999994%, Running Loss = 5.663974094390869
Prediction Accuracy = 40.974%, Running Loss = 5.668627252578736
Prediction Accuracy = 42.111999999999995%, Running Loss = 5.662296886444092
Prediction Accuracy = 42.11%, Running Loss = 5.658268213272095
Prediction Accuracy = 41.785999999999994%, Running Loss = 5.66617039680481
Prediction Accuracy = 41.654%, Running Loss = 5.66634617805481
Prediction Accuracy = 41.446000000000005%, Running Loss = 5.653313322067261
Prediction Accuracy = 40.514%, Running Loss = 5.668334445953369
Prediction Accuracy = 41.88800000000001%, Running Loss = 5.657092905044555
Prediction Accuracy = 42.232000000000006%, Running Loss = 5.654876852035523
Prediction Accuracy = 41.931999999999995%, Running Loss = 5.654790086746216
Prediction Accuracy = 41.89%, Running Loss = 5.666281538009644
Prediction Accuracy = 41.525999999999996%, Running Loss = 5.676812725067139
Prediction Accuracy = 40.638000000000005%, Running Loss = 5.665792331695557
Prediction Accuracy = 41.1%, Running Loss = 5.67640233039856
Prediction Accuracy = 41.3%, Running Loss = 5.677827463150025
Prediction Accuracy = 41.196000000000005%, Running Loss = 5.670625352859497
Prediction Accuracy = 41.13400000000001%, Running Loss = 5.679371852874755
Prediction Accuracy = 40.66400000000001%, Running Loss = 5.670869455337525
Prediction Accuracy = 41.395999999999994%, Running Loss = 5.672528419494629
Prediction Accuracy = 42.034%, Running Loss = 5.670231609344483
Prediction Accuracy = 41.646%, Running Loss = 5.66535569190979
Prediction Accuracy = 39.483999999999995%, Running Loss = 5.668837900161743
Prediction Accuracy = 41.943999999999996%, Running Loss = 5.668239545822144
Prediction Accuracy = 41.578%, Running Loss = 5.678438892364502
Prediction Accuracy = 41.894000000000005%, Running Loss = 5.652977657318115
Prediction Accuracy = 42.05%, Running Loss = 5.657498035430908
Prediction Accuracy = 41.968%, Running Loss = 5.6537683391571045
Prediction Accuracy = 41.606%, Running Loss = 5.66580753326416
Prediction Accuracy = 41.62%, Running Loss = 5.676797370910645
Prediction Accuracy = 41.312%, Running Loss = 5.681127424240112
Prediction Accuracy = 41.354000000000006%, Running Loss = 5.667232084274292
Prediction Accuracy = 41.89%, Running Loss = 5.663476181030274
Prediction Accuracy = 42.084%, Running Loss = 5.67635407447815
Prediction Accuracy = 41.434%, Running Loss = 5.667055759429932
Prediction Accuracy = 42.026%, Running Loss = 5.663156023025513
Prediction Accuracy = 41.83%, Running Loss = 5.662958860397339
Prediction Accuracy = 42.096000000000004%, Running Loss = 5.658927001953125
Prediction Accuracy = 42.214%, Running Loss = 5.656195907592774
