Prediction Accuracy = 42.46%, Running Loss = 5.647195959091187
Prediction Accuracy = 42.568%, Running Loss = 5.655331659317016
Prediction Accuracy = 42.638%, Running Loss = 5.650016498565674
Prediction Accuracy = 42.489999999999995%, Running Loss = 5.6449987411499025
Prediction Accuracy = 42.298%, Running Loss = 5.646093845367432
Prediction Accuracy = 42.39200000000001%, Running Loss = 5.64460129737854
Prediction Accuracy = 42.494%, Running Loss = 5.6524820804595945
Prediction Accuracy = 42.628%, Running Loss = 5.652788591384888
Prediction Accuracy = 42.565999999999995%, Running Loss = 5.64836950302124
Prediction Accuracy = 42.36%, Running Loss = 5.651277542114258
Prediction Accuracy = 42.538%, Running Loss = 5.652888345718384
Prediction Accuracy = 42.182%, Running Loss = 5.64617953300476
Prediction Accuracy = 42.398%, Running Loss = 5.6694542407989506
Prediction Accuracy = 42.44799999999999%, Running Loss = 5.6782513618469235
Prediction Accuracy = 42.338%, Running Loss = 5.6725317478179935
Prediction Accuracy = 41.07%, Running Loss = 5.698260641098022
Prediction Accuracy = 41.482%, Running Loss = 5.659017610549927
Prediction Accuracy = 41.80799999999999%, Running Loss = 5.665145921707153
Prediction Accuracy = 42.362%, Running Loss = 5.655861759185791
Prediction Accuracy = 42.476%, Running Loss = 5.660095930099487
Prediction Accuracy = 42.568%, Running Loss = 5.663375902175903
Prediction Accuracy = 42.562%, Running Loss = 5.665100383758545
